"","date","incident_num","incident_type","city","state","zip","county","destroyed","major","minor","affected","injured","hospitalized","deceased","adults","children","families","assistance","verified","dispatched","responders_id","on_scene","departed"
"123",2014-01-25,140684,"Fire","Big Rock","IL",60511,"Kane",1,0,0,0,0,0,0,2,1,1,615,2014-01-26 02:21:00,NA,2014-01-26 02:51:00,2014-01-26 03:34:00,2014-01-26 05:31:00
"124",2014-01-25,140685,"Fire","Chicago","IL",60617,"Cook",0,0,1,0,0,0,0,5,0,1,NA,2014-01-26 01:07:00,NA,2014-01-26 01:50:00,2014-01-26 03:01:00,2014-01-26 04:15:00
"125",2014-01-25,140686,"No response needed","McHenry","IL",60051,"McHenry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2014-01-26,140689,"Fire","Lynwood","IL",60411,"Cook",1,0,0,0,0,0,0,4,1,1,1101,2014-01-26 19:51:00,NA,2014-01-26 21:26:00,2014-01-26 22:41:00,2014-01-26 23:29:00
"127",2014-01-26,140691,"Fire","Chicago","IL",60634,"Cook",6,0,0,0,0,2,0,2,3,1,1370,2014-01-27 02:13:00,2014-01-27 02:15:00,2014-01-27 02:34:00,2014-01-27 04:09:00,2014-01-27 06:40:00
"128",2014-01-27,140693,"Fire","Berwyn","IL",60402,"Cook",0,2,0,1,1,1,0,3,0,2,525,2014-01-27 08:06:00,2014-01-27 08:10:00,2014-01-27 08:20:00,2014-01-27 09:15:00,2014-01-27 14:00:00
"129",2014-01-27,140696,"Fire","Joliet","IL",60433,"Will",0,0,0,1,0,0,0,4,3,1,575,2014-01-27 23:38:00,2014-01-27 23:55:00,2014-01-28 00:15:00,2014-01-28 01:01:00,2014-01-28 02:05:00
"130",2014-01-27,140697,"Fire","Chicago","IL",60608,"Cook",0,0,0,0,0,0,0,0,0,0,NA,2014-01-28 00:17:00,2014-01-28 00:31:00,2014-01-28 01:05:00,2014-01-28 02:17:00,2014-01-28 02:35:00
"131",2014-01-28,140700,"Fire","Chicago","IL",60659,"Cook",3,2,1,3,0,0,0,2,0,2,610,2014-01-28 15:09:00,NA,2014-01-28 15:46:00,2014-01-28 16:35:00,2014-01-28 18:59:00
"132",2014-01-28,140703,"Fire","Pembroke","IL",60958,"Kankakee",1,1,0,1,0,0,0,1,0,1,360,2014-01-28 16:55:00,NA,2014-01-28 17:30:00,2014-01-28 20:41:00,2014-01-28 21:25:00
"133",2014-01-28,140710,"Fire","Chicago","IL",60609,"Cook",1,0,0,0,0,0,0,1,0,1,440,2014-01-29 01:14:00,2014-01-29 01:14:00,2014-01-29 01:30:00,2014-01-29 02:50:00,2014-01-29 03:52:00
"134",2014-01-29,140711,"Fire","Chicago","IL",60619,"Cook",0,1,0,0,0,1,0,5,0,1,1085,2014-01-29 07:04:00,2014-01-29 07:05:00,2014-01-29 07:19:00,2014-01-29 08:40:00,2014-01-29 09:35:00
